14926KSTC STC20050401082011604/01/05 08:20:31  5-MIN KSTC 011420Z AUTO 33012G19KT 10SM SCT015 BKN070  02/M02 A3013 830 75 -400 330/12G19 RMK AO2
14926KSTC STC20050401082511704/01/05 08:25:31  5-MIN KSTC 011425Z AUTO 33012KT 10SM SCT015 SCT065  BKN080 02/M01 A3013 830 78 -400 330/12 RMK AO2
14926KSTC STC20050401083011704/01/05 08:30:31  5-MIN KSTC 011430Z AUTO 33010KT 10SM SCT017 BKN060  OVC080 02/M01 A3013 830 78 -400 330/10 RMK AO2
14926KSTC STC20050401083511704/01/05 08:35:31  5-MIN KSTC 011435Z AUTO 33008KT 10SM SCT017 BKN065  BKN075 02/M01 A3012 840 78 -400 330/08 RMK AO2
14926KSTC STC20050401084011004/01/05 08:40:31  5-MIN KSTC 011440Z AUTO 34009KT 10SM FEW017 BKN070  02/M01 A3013 840 78 -400 340/09 RMK AO2
14926KSTC STC20050401084511004/01/05 08:45:31  5-MIN KSTC 011445Z AUTO 34008KT 10SM FEW065 SCT080  02/M01 A3013 840 78 -400 330/08 RMK AO2
14926KSTC STC20050401085013304/01/05 08:50:31  5-MIN KSTC 011450Z AUTO 32007KT 10SM FEW060 SCT080  03/M01 A3013 830 79 -400 320/07 RMK AO2 SLP220 T00281006 51009
14926KSTC STC20050401085510204/01/05 08:55:31  5-MIN KSTC 011455Z AUTO 32009KT 10SM FEW070 03/M01 A3013 830 76 -300 320/09 RMK AO2
14926KSTC STC20050401090010204/01/05 09:00:31  5-MIN KSTC 011500Z AUTO 32010KT 10SM FEW075 03/M01 A3013 830 76 -300 310/10 RMK AO2
14926KSTC STC20050401090510004/01/05 09:05:31  5-MIN KSTC 011505Z AUTO 32012KT 10SM CLR 04/M01 A3013  830 73 -200 320/12 RMK AO2
14926KSTC STC20050401091010004/01/05 09:10:31  5-MIN KSTC 011510Z AUTO 32013KT 10SM CLR 04/M01 A3013  830 73 -200 310/13 RMK AO2
14926KSTC STC20050401091510004/01/05 09:15:31  5-MIN KSTC 011515Z AUTO 32011KT 10SM CLR 04/M01 A3013  830 73 -200 320/11 RMK AO2
14926KSTC STC20050401092010004/01/05 09:20:31  5-MIN KSTC 011520Z AUTO 32010KT 10SM CLR 04/M01 A3013  830 70 -200 320/10 RMK AO2
14926KSTC STC20050401092510404/01/05 09:25:31  5-MIN KSTC 011525Z AUTO 31014G18KT 10SM CLR 04/00 A3013 830 73 -200 310/14G18 RMK AO2
14926KSTC STC20050401093010904/01/05 09:30:31  5-MIN KSTC 011530Z AUTO 32010G18KT 10SM FEW014 04/M01  A3013 830 73 -200 320/10G18 RMK AO2
14926KSTC STC20050401093510104/01/05 09:35:31  5-MIN KSTC 011535Z AUTO 32012KT 10SM FEW014 05/00 A3013 830 70 -100 320/12 RMK AO2
14926KSTC STC20050401094010204/01/05 09:40:31  5-MIN KSTC 011540Z AUTO 30014KT 10SM FEW014 05/M01 A3013 830 67 -100 300/14 RMK AO2
14926KSTC STC20050401094510104/01/05 09:45:31  5-MIN KSTC 011545Z AUTO 31015KT 10SM FEW014 05/00 A3013 830 70 -100 310/15 RMK AO2
14926KSTC STC20050401095011504/01/05 09:50:31  5-MIN KSTC 011550Z AUTO 32012KT 10SM FEW014 06/00 A3013 830 67 0 310/12 RMK AO2 SLP220 T00560000
14926KSTC STC20050401095510004/01/05 09:55:31  5-MIN KSTC 011555Z AUTO 31013KT 10SM CLR 05/M01 A3013  830 67 -100 310/13 RMK AO2
14926KSTC STC20050401100009904/01/05 10:00:31  5-MIN KSTC 011600Z AUTO 32012KT 10SM FEW020 06/M01 A3013 830 65 0 320/12 RMK AO2
14926KSTC STC20050401100509704/01/05 10:05:31  5-MIN KSTC 011605Z AUTO 32012KT 10SM CLR 06/M01 A3013  830 62 0 320/12 RMK AO2
14926KSTC STC20050401101009904/01/05 10:10:31  5-MIN KSTC 011610Z AUTO 31011KT 10SM FEW021 06/M01 A3013 830 62 0 310/11 RMK AO2
14926KSTC STC20050401101509904/01/05 10:15:31  5-MIN KSTC 011615Z AUTO 32013KT 10SM FEW023 06/M01 A3013 830 62 0 310/13 RMK AO2
14926KSTC STC20050401102009904/01/05 10:20:31  5-MIN KSTC 011620Z AUTO 31012KT 10SM FEW023 06/M01 A3013 830 62 0 300/12 RMK AO2
14926KSTC STC20050401102509904/01/05 10:25:31  5-MIN KSTC 011625Z AUTO 31013KT 10SM CLR 07/M01 A3013  840 60 100 310/13 RMK AO2
14926KSTC STC20050401103010404/01/05 10:30:31  5-MIN KSTC 011630Z AUTO 32014G20KT 10SM CLR 07/M01 A3013 830 57 100 320/14G20 RMK AO2
14926KSTC STC20050401103510804/01/05 10:35:31  5-MIN KSTC 011635Z AUTO 32015G20KT 10SM FEW036 07/M02  A3013 840 53 100 320/15G20 RMK AO2
14926KSTC STC20050401104010804/01/05 10:40:31  5-MIN KSTC 011640Z AUTO 32015G21KT 10SM FEW036 07/M02  A3013 840 53 100 310/15G21 RMK AO2
14926KSTC STC20050401104510804/01/05 10:45:31  5-MIN KSTC 011645Z AUTO 33016G21KT 10SM FEW039 07/M02  A3012 840 53 100 320/16G21 RMK AO2
14926KSTC STC20050401105012504/01/05 10:50:31  5-MIN KSTC 011650Z AUTO 33014G21KT 10SM FEW039 08/M03  A3012 840 47 200 330/14G21 RMK AO2 SLP216 T00781028
14926KSTC STC20050401105510804/01/05 10:55:31  5-MIN KSTC 011655Z AUTO 32013G20KT 10SM FEW039 08/M02  A3012 840 49 200 320/13G20 RMK AO2
14926KSTC STC20050401110010804/01/05 11:00:31  5-MIN KSTC 011700Z AUTO 32016G20KT 10SM FEW041 08/M03  A3012 840 47 200 320/16G20 RMK AO2
14926KSTC STC20050401110510804/01/05 11:05:31  5-MIN KSTC 011705Z AUTO 32015G21KT 10SM FEW043 08/M03  A3012 840 47 200 320/15G21 RMK AO2
14926KSTC STC20050401111010804/01/05 11:10:31  5-MIN KSTC 011710Z AUTO 32016G21KT 10SM FEW043 08/M03  A3012 840 47 200 320/16G21 RMK AO2
14926KSTC STC20050401111510804/01/05 11:15:31  5-MIN KSTC 011715Z AUTO 33017G21KT 10SM FEW043 08/M03  A3012 840 45 300 330/17G21 RMK AO2
14926KSTC STC20050401112010804/01/05 11:20:31  5-MIN KSTC 011720Z AUTO 33016G21KT 10SM FEW043 08/M04  A3012 840 42 300 330/16G21 RMK AO2
14926KSTC STC20050401112510804/01/05 11:25:31  5-MIN KSTC 011725Z AUTO 33015G21KT 10SM FEW043 08/M04  A3012 840 42 300 330/15G21 RMK AO2
14926KSTC STC20050401113010804/01/05 11:30:31  5-MIN KSTC 011730Z AUTO 33016G23KT 10SM FEW043 08/M04  A3011 850 42 300 330/16G23 RMK AO2
14926KSTC STC20050401113510804/01/05 11:35:31  5-MIN KSTC 011735Z AUTO 32017G23KT 10SM FEW050 08/M04  A3011 850 42 300 320/17G23 RMK AO2
14926KSTC STC20050401114010104/01/05 11:40:31  5-MIN KSTC 011740Z AUTO 33014KT 10SM FEW050 09/M03 A3011 850 42 400 320/14 RMK AO2
14926KSTC STC20050401114510804/01/05 11:45:31  5-MIN KSTC 011745Z AUTO 34014G24KT 10SM FEW055 09/M03  A3011 850 42 400 340/14G24 RMK AO2
14926KSTC STC20050401115014304/01/05 11:50:31  5-MIN KSTC 011750Z AUTO 33014G24KT 10SM FEW050 09/M04  A3011 850 40 400 330/14G24 RMK AO2 SLP210 T00891039 10089 20006 51006
14926KSTC STC20050401115510104/01/05 11:55:31  5-MIN KSTC 011755Z AUTO 33014KT 10SM FEW055 09/M03 A3011 850 40 400 330/14 RMK AO2
14926KSTC STC20050401120010804/01/05 12:00:31  5-MIN KSTC 011800Z AUTO 34014G24KT 10SM FEW050 09/M04  A3011 850 38 400 330/14G24 RMK AO2
14926KSTC STC20050401120510804/01/05 12:05:31  5-MIN KSTC 011805Z AUTO 33017G24KT 10SM SCT055 09/M04  A3011 860 38 400 330/17G24 RMK AO2
14926KSTC STC20050401121010104/01/05 12:10:31  5-MIN KSTC 011810Z AUTO 34015KT 10SM SCT055 08/M04 A3011 860 40 300 340/15 RMK AO2
14926KSTC STC20050401121510804/01/05 12:15:31  5-MIN KSTC 011815Z AUTO 34016G21KT 10SM SCT055 10/M04  A3010 860 37 500 330/16G21 RMK AO2
14926KSTC STC20050401122010804/01/05 12:20:31  5-MIN KSTC 011820Z AUTO 34019G23KT 10SM SCT055 09/M05  A3010 860 37 400 340/19G23 RMK AO2
14926KSTC STC20050401122510804/01/05 12:25:31  5-MIN KSTC 011825Z AUTO 33018G25KT 10SM SCT055 09/M05  A3010 860 35 400 330/18G25 RMK AO2
