14926KSTC STC20050501040511705/01/05 04:05:31  5-MIN KSTC 011005Z AUTO 29009KT 10SM FEW060 SCT075  BKN090 00/M03 A2997 980 81 -500 290/09 RMK AO2
14926KSTC STC20050501041011005/01/05 04:10:31  5-MIN KSTC 011010Z AUTO 29008KT 10SM FEW075 BKN090  00/M03 A2997 980 81 -500 290/08 RMK AO2
14926KSTC STC20050501041511005/01/05 04:15:31  5-MIN KSTC 011015Z AUTO 29009KT 10SM FEW075 OVC090  00/M03 A2997 980 81 -500 290/09 RMK AO2
14926KSTC STC20050501042011005/01/05 04:20:31  5-MIN KSTC 011020Z AUTO 29009KT 10SM FEW075 OVC090  00/M03 A2997 980 81 -500 290/09 RMK AO2
14926KSTC STC20050501042510205/01/05 04:25:31  5-MIN KSTC 011025Z AUTO 29009KT 10SM OVC090 00/M03 A2997 980 81 -500 290/09 RMK AO2
14926KSTC STC20050501043010205/01/05 04:30:31  5-MIN KSTC 011030Z AUTO 29008KT 10SM OVC090 01/M03 A2997 980 78 -400 290/08 RMK AO2
14926KSTC STC20050501043510205/01/05 04:35:31  5-MIN KSTC 011035Z AUTO 30009KT 10SM OVC090 01/M03 A2996 990 78 -400 290/09 RMK AO2
14926KSTC STC20050501044010205/01/05 04:40:31  5-MIN KSTC 011040Z AUTO 29009KT 10SM OVC090 01/M03 A2996 990 78 -400 290/09 RMK AO2
14926KSTC STC20050501044510205/01/05 04:45:31  5-MIN KSTC 011045Z AUTO 29008KT 10SM OVC090 01/M03 A2996 990 78 -400 290/08 RMK AO2
14926KSTC STC20050501045011905/01/05 04:50:31  5-MIN KSTC 011050Z AUTO 29009KT 10SM OVC090 01/M03 A2996 990 78 -400 290/09 RMK AO2 SLP163 T00061028
14926KSTC STC20050501045510205/01/05 04:55:31  5-MIN KSTC 011055Z AUTO 29009KT 10SM OVC090 01/M03 A2996 990 78 -400 290/09 RMK AO2
14926KSTC STC20050501050011005/01/05 05:00:31  5-MIN KSTC 011100Z AUTO 29009KT 10SM FEW037 OVC090  01/M03 A2996 990 78 -400 290/09 RMK AO2
14926KSTC STC20050501050511005/01/05 05:05:31  5-MIN KSTC 011105Z AUTO 30010KT 10SM FEW035 OVC090  01/M03 A2996 990 78 -400 290/10 RMK AO2
14926KSTC STC20050501051010805/01/05 05:10:31  5-MIN KSTC 011110Z AUTO 30009KT 9SM SCT031 OVC090 01/M03 A2996 990 78 -400 290/09 RMK AO2
14926KSTC STC20050501051513205/01/05 05:15:31  5-MIN KSTC 011115Z AUTO 30008KT 7SM -SN SCT028 BKN035  OVC090 01/M03 A2996 990 78 -400 290/08 RMK AO2 SNB12 P0000
14926KSTC STC20050501052013205/01/05 05:20:31  5-MIN KSTC 011120Z AUTO 30010KT 7SM -SN SCT028 BKN035  OVC090 01/M03 A2996 990 78 -400 300/10 RMK AO2 SNB12 P0000
14926KSTC STC20050501052513205/01/05 05:25:31  5-MIN KSTC 011125Z AUTO 30011KT 7SM -SN SCT026 BKN037  OVC090 01/M03 A2996 990 78 -400 300/11 RMK AO2 SNB12 P0000
14926KSTC STC20050501053012505/01/05 05:30:31  5-MIN KSTC 011130Z AUTO 31012KT 3SM -SN BKN026 OVC035  01/M03 A2997 980 78 -400 300/12 RMK AO2 SNB12 P0000
14926KSTC STC20050501053512505/01/05 05:35:31  5-MIN KSTC 011135Z AUTO 31011KT 2SM -SN BKN026 OVC035  01/M02 A2997 980 82 -400 310/11 RMK AO2 SNB12 P0000
14926KSTC STC20050501054013905/01/05 05:40:31  5-MIN KSTC 011140Z AUTO 31011KT 2 1/2SM -SN BR BKN024  BKN029 OVC037 00/M02 A2997 980 85 -500 310/11 RMK AO2 SNB12 P0000
14926KSTC STC20050501054512705/01/05 05:45:31  5-MIN KSTC 011145Z AUTO 30011KT 3SM -SN BR BKN023 OVC031 00/M02 A2997 980 85 -500 300/11 RMK AO2 SNB12 P0000
14926KSTC STC20050501055015505/01/05 05:50:31  5-MIN KSTC 011150Z 31013KT 3SM -SN OVC023 00/M03 A2997  980 81 -500 300/13 RMK AO2 SNB12 SLP167 P0000 60000 T00001028 10033 20000  53001
14926KSTC STC20050501055511105/01/05 05:55:31  5-MIN KSTC 011155Z 31013KT 2 1/2SM -SN OVC023 00/M03  A2997 980 81 -500 310/13 RMK AO2 P0000
14926KSTC STC20050501060012005/01/05 06:00:31  5-MIN KSTC 011200Z 30011KT 1 3/4SM -SN BR BKN023 OVC032 00/M02 A2997 980 85 -500 300/11 RMK AO2 P0000
14926KSTC STC20050501060512505/01/05 06:05:31  5-MIN KSTC 011205Z 31010KT 2 1/2SM -SN BKN023 BKN034  OVC041 00/M03 A2997 980 81 -500 300/10 RMK AO2 P0000
14926KSTC STC20050501061012305/01/05 06:10:31  5-MIN KSTC 011210Z 28008KT 8SM SCT023 BKN033 OVC045  00/M02 A2997 980 85 -500 280/08 RMK AO2 SNE10 P0000
14926KSTC STC20050501061512305/01/05 06:15:31  5-MIN KSTC 011215Z 27007KT 9SM FEW023 SCT033 OVC048  00/M02 A2997 980 85 -500 270/07 RMK AO2 SNE10 P0000
14926KSTC STC20050501062012405/01/05 06:20:31  5-MIN KSTC 011220Z 28007KT 10SM FEW023 SCT040 OVC050  00/M02 A2997 980 85 -500 280/07 RMK AO2 SNE10 P0000
14926KSTC STC20050501062512405/01/05 06:25:31  5-MIN KSTC 011225Z 28008KT 10SM FEW036 SCT047 OVC055  00/M02 A2998 970 85 -500 270/08 RMK AO2 SNE10 P0000
14926KSTC STC20050501063011705/01/05 06:30:31  5-MIN KSTC 011230Z 29008KT 10SM FEW043 OVC050 01/M02  A2998 970 82 -500 290/08 RMK AO2 SNE10 P0000
14926KSTC STC20050501063510905/01/05 06:35:31  5-MIN KSTC 011235Z 29008KT 10SM OVC050 01/M03 A2998 970 78 -500 280/08 RMK AO2 SNE10 P0000
14926KSTC STC20050501064010905/01/05 06:40:31  5-MIN KSTC 011240Z 29009KT 10SM OVC050 01/M03 A2998 970 78 -500 290/09 RMK AO2 SNE10 P0000
14926KSTC STC20050501064510905/01/05 06:45:31  5-MIN KSTC 011245Z 29010KT 10SM OVC050 01/M03 A2998 970 78 -500 280/10 RMK AO2 SNE10 P0000
14926KSTC STC20050501065012605/01/05 06:50:31  5-MIN KSTC 011250Z 29011KT 10SM OVC050 01/M03 A2998 970 75 -500 290/11 RMK AO2 SNE10 SLP170 P0000 T00061033
14926KSTC STC20050501065509705/01/05 06:55:31  5-MIN KSTC 011255Z 29010KT 10SM OVC050 01/M03 A2998 970 78 -500 290/10 RMK AO2
14926KSTC STC20050501070009705/01/05 07:00:31  5-MIN KSTC 011300Z 29011KT 10SM OVC050 01/M03 A2998 970 75 -500 290/11 RMK AO2
14926KSTC STC20050501070509705/01/05 07:05:31  5-MIN KSTC 011305Z 29010KT 10SM OVC050 01/M03 A2998 970 78 -500 290/10 RMK AO2
14926KSTC STC20050501071009705/01/05 07:10:31  5-MIN KSTC 011310Z 29011KT 10SM OVC055 01/M03 A2998 970 78 -500 280/11 RMK AO2
