14926KSTC STC20050601083010706/01/05 08:30:31  5-MIN KSTC 011430Z 12004KT 10SM -RA FEW044 17/13 A3002  940 75 1500 120/04 RMK AO2 P0000
14926KSTC STC20050601083511306/01/05 08:35:31  5-MIN KSTC 011435Z 14004KT 10SM -RA FEW065 SCT095 17/13 A3002 940 75 1500 130/04 RMK AO2 P0000
14926KSTC STC20050601084010706/01/05 08:40:31  5-MIN KSTC 011440Z 15005KT 10SM -RA SCT095 17/12 A3002  940 72 1500 150/05 RMK AO2 P0000
14926KSTC STC20050601084510706/01/05 08:45:31  5-MIN KSTC 011445Z 17003KT 10SM -RA SCT095 17/13 A3002  940 75 1500 160/03 RMK AO2 P0000
14926KSTC STC20050601085013606/01/05 08:50:31  5-MIN KSTC 011450Z 00000KT 10SM -RA SCT095 17/13 A3002  940 75 1500 000/00 RMK AO2 SLP170 P0000 60000 T01720128 55003
14926KSTC STC20050601085509706/01/05 08:55:31  5-MIN KSTC 011455Z 19003KT 10SM SCT090 17/13 A3001 940  75 1500 180/03 RMK AO2
14926KSTC STC20050601090012106/01/05 09:00:31  5-MIN KSTC 011500Z 00000KT 10SM -RA FEW080 SCT095 17/13 A3001 940 75 1500 000/00 RMK AO2 RAB1459 P0000
14926KSTC STC20050601090512106/01/05 09:05:31  5-MIN KSTC 011505Z 00000KT 10SM -RA SCT080 BKN090 17/13 A3001 940 75 1500 000/00 RMK AO2 RAB1459 P0000
14926KSTC STC20050601091012106/01/05 09:10:31  5-MIN KSTC 011510Z 00000KT 10SM -RA BKN080 BKN090 17/13 A3001 940 75 1500 000/00 RMK AO2 RAB1459 P0000
14926KSTC STC20050601091511506/01/05 09:15:31  5-MIN KSTC 011515Z 00000KT 10SM -RA BKN080 18/13 A3001  940 72 1500 000/00 RMK AO2 RAB1459 P0000
14926KSTC STC20050601092011506/01/05 09:20:31  5-MIN KSTC 011520Z 00000KT 10SM -RA BKN080 18/13 A3001  940 72 1500 000/00 RMK AO2 RAB1459 P0000
14926KSTC STC20050601092511506/01/05 09:25:31  5-MIN KSTC 011525Z 00000KT 10SM -RA OVC080 18/13 A3001  940 72 1500 000/00 RMK AO2 RAB1459 P0000
14926KSTC STC20050601093011506/01/05 09:30:31  5-MIN KSTC 011530Z VRB03KT 10SM -RA OVC080 18/13 A3001  940 72 1500 VRB/03 RMK AO2 RAB1459 P0000
